ID                                    0xd0dc
Delivery_person_ID             KOLRES13DEL01
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                22.553227
Restaurant_longitude               88.353273
Delivery_location_latitude         22.593227
Delivery_location_longitude        88.393273
Order_Date                        13-02-2022
Time_Orderd                              NaN
Time_Order_picked                      13:05
Weather conditions                    Cloudy
Road_traffic_density                    High
Vehicle_condition                          0
Type_of_order                           Meal
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   31.000000
Name: 21627, dtype: object
