ID                                    0x529d
Delivery_person_ID             HYDRES14DEL03
Delivery_person_Age                29.000000
Delivery_person_Ratings             4.400000
Restaurant_latitude                17.426228
Restaurant_longitude               78.407495
Delivery_location_latitude         17.516228
Delivery_location_longitude        78.497495
Order_Date                        04-03-2022
Time_Orderd                            21:15
Time_Order_picked                      21:20
Weather conditions                       Fog
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 2.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   42.000000
Name: 5587, dtype: object
