ID                                     0xdc43
Delivery_person_ID             AURGRES13DEL02
Delivery_person_Age                 25.000000
Delivery_person_Ratings              4.400000
Restaurant_latitude                 19.880256
Restaurant_longitude                75.323503
Delivery_location_latitude          19.960256
Delivery_location_longitude         75.403503
Order_Date                         18-02-2022
Time_Orderd                             19:25
Time_Order_picked                       19:40
Weather conditions                      Windy
Road_traffic_density                      Jam
Vehicle_condition                           0
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    38.000000
Name: 45532, dtype: object
