ID                                       0x1fff
Delivery_person_ID                SURRES11DEL01
Delivery_person_Age                   35.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   21.157735
Restaurant_longitude                  72.768778
Delivery_location_latitude            21.197735
Delivery_location_longitude           72.808778
Order_Date                           03-04-2022
Time_Orderd                               15:30
Time_Order_picked                         15:40
Weather conditions                        Sunny
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      18.000000
Name: 5200, dtype: object
