ID                                       0x3d19
Delivery_person_ID                SURRES13DEL01
Delivery_person_Age                   34.000000
Delivery_person_Ratings                3.600000
Restaurant_latitude                   21.170096
Restaurant_longitude                  72.789122
Delivery_location_latitude            21.240096
Delivery_location_longitude           72.859122
Order_Date                           31-03-2022
Time_Orderd                               21:10
Time_Order_picked                         21:25
Weather conditions                       Stormy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                    Yes
City                              Metropolitian
Time_taken (min)                      42.000000
Name: 16298, dtype: object
