ID                                       0xbbc7
Delivery_person_ID               BANGRES08DEL03
Delivery_person_Age                   33.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   12.906229
Restaurant_longitude                  77.596791
Delivery_location_latitude            12.996229
Delivery_location_longitude           77.686791
Order_Date                           08-03-2022
Time_Orderd                               18:35
Time_Order_picked                         18:45
Weather conditions                          Fog
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      37.000000
Name: 21781, dtype: object
