ID                                      0x2c8c
Delivery_person_ID             COIMBRES04DEL02
Delivery_person_Age                  26.000000
Delivery_person_Ratings               4.100000
Restaurant_latitude                  11.024839
Restaurant_longitude                 77.007003
Delivery_location_latitude           11.044839
Delivery_location_longitude          77.027003
Order_Date                          03-04-2022
Time_Orderd                              10:15
Time_Order_picked                        10:30
Weather conditions                      Stormy
Road_traffic_density                       Low
Vehicle_condition                            0
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     23.000000
Name: 27752, dtype: object
