ID                                      0x4f8
Delivery_person_ID             VADRES010DEL01
Delivery_person_Age                       NaN
Delivery_person_Ratings                   NaN
Restaurant_latitude                -22.310329
Restaurant_longitude               -73.169083
Delivery_location_latitude          22.380329
Delivery_location_longitude         73.239083
Order_Date                         10-03-2022
Time_Orderd                               NaN
Time_Order_picked                       18:30
Weather conditions                        NaN
Road_traffic_density                      NaN
Vehicle_condition                           3
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    39.000000
Name: 13790, dtype: object
