ID                                     0x2c1c
Delivery_person_ID             BANGRES14DEL01
Delivery_person_Age                 33.000000
Delivery_person_Ratings              5.000000
Restaurant_latitude                 12.949934
Restaurant_longitude                77.699386
Delivery_location_latitude          12.989934
Delivery_location_longitude         77.739386
Order_Date                         24-03-2022
Time_Orderd                             16:45
Time_Order_picked                       16:60
Weather conditions                        Fog
Road_traffic_density                   Medium
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    16.000000
Name: 35649, dtype: object
