ID                                     0xcfe3
Delivery_person_ID             ALHRES010DEL01
Delivery_person_Age                     34.00
Delivery_person_Ratings                  4.10
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.11
Delivery_location_longitude              0.11
Order_Date                         12-02-2022
Time_Orderd                             20:15
Time_Order_picked                       20:25
Weather conditions                 Sandstorms
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                      1.00
Festival                                   No
City                            Metropolitian
Time_taken (min)                        41.00
Name: 36631, dtype: object
