ID                                     0xabb
Delivery_person_ID             VADRES14DEL02
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                22.311603
Restaurant_longitude               73.165012
Delivery_location_latitude         22.331603
Delivery_location_longitude        73.185012
Order_Date                        19-03-2022
Time_Orderd                              NaN
Time_Order_picked                      11:30
Weather conditions                     Windy
Road_traffic_density                    High
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                                   Urban
Time_taken (min)                   20.000000
Name: 20151, dtype: object
