ID                                        0x4f7
Delivery_person_ID               BANGRES03DEL01
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                  -12.979166
Restaurant_longitude                 -77.640709
Delivery_location_latitude            13.089166
Delivery_location_longitude           77.750709
Order_Date                           02-04-2022
Time_Orderd                                 NaN
Time_Order_picked                         22:20
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      29.000000
Name: 30763, dtype: object
