ID                                       0x51dd
Delivery_person_ID               INDORES05DEL01
Delivery_person_Age                   28.000000
Delivery_person_Ratings                4.900000
Restaurant_latitude                   22.727021
Restaurant_longitude                  75.884167
Delivery_location_latitude            22.767021
Delivery_location_longitude           75.924167
Order_Date                           24-03-2022
Time_Orderd                               14:10
Time_Order_picked                         14:15
Weather conditions                       Stormy
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      10.000000
Name: 15305, dtype: object
