ID                                       0xb52e
Delivery_person_ID                MUMRES03DEL02
Delivery_person_Age                   35.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   19.223840
Restaurant_longitude                  72.841347
Delivery_location_latitude            19.303840
Delivery_location_longitude           72.921347
Order_Date                           31-03-2022
Time_Orderd                               18:50
Time_Order_picked                         18:60
Weather conditions                   Sandstorms
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      22.000000
Name: 34225, dtype: object
