ID                                    0xaa8e
Delivery_person_ID             VADRES03DEL03
Delivery_person_Age                    35.00
Delivery_person_Ratings                 4.40
Restaurant_latitude                    22.32
Restaurant_longitude                   73.17
Delivery_location_latitude             22.38
Delivery_location_longitude            73.23
Order_Date                        03-03-2022
Time_Orderd                            18:60
Time_Order_picked                      19:15
Weather conditions                    Cloudy
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                     1.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       32.00
Name: 35415, dtype: object
