ID                                     0xda42
Delivery_person_ID             AURGRES03DEL03
Delivery_person_Age                 26.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 19.874733
Restaurant_longitude                75.353942
Delivery_location_latitude          19.964733
Delivery_location_longitude         75.443942
Order_Date                         18-02-2022
Time_Orderd                             18:60
Time_Order_picked                       19:15
Weather conditions                     Stormy
Road_traffic_density                   Medium
Vehicle_condition                           2
Type_of_order                          Buffet
Type_of_vehicle                       scooter
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    29.000000
Name: 41313, dtype: object
