ID                                    0xadac
Delivery_person_ID             VADRES02DEL01
Delivery_person_Age                    24.00
Delivery_person_Ratings                 4.60
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.01
Delivery_location_longitude             0.01
Order_Date                        07-03-2022
Time_Orderd                             9:60
Time_Order_picked                      10:05
Weather conditions                       Fog
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                     0.00
Festival                                  No
City                                   Urban
Time_taken (min)                       12.00
Name: 15105, dtype: object
