ID                                        0x5ea8
Delivery_person_ID             RANCHIRES010DEL01
Delivery_person_Age                    27.000000
Delivery_person_Ratings                 4.600000
Restaurant_latitude                    23.354422
Restaurant_longitude                   85.332900
Delivery_location_latitude             23.424422
Delivery_location_longitude            85.402900
Order_Date                            06-04-2022
Time_Orderd                                23:40
Time_Order_picked                          23:50
Weather conditions                        Stormy
Road_traffic_density                         Low
Vehicle_condition                              0
Type_of_order                               Meal
Type_of_vehicle                       motorcycle
multiple_deliveries                     1.000000
Festival                                      No
City                               Metropolitian
Time_taken (min)                       24.000000
Name: 28293, dtype: object
