ID                                       0xe0cf
Delivery_person_ID                KNPRES06DEL01
Delivery_person_Age                       37.00
Delivery_person_Ratings                    4.10
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.01
Delivery_location_longitude                0.01
Order_Date                           13-02-2022
Time_Orderd                               11:45
Time_Order_picked                         11:50
Weather conditions                       Cloudy
Road_traffic_density                       High
Vehicle_condition                             2
Type_of_order                            Buffet
Type_of_vehicle                electric_scooter
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          33.00
Name: 5317, dtype: object
