ID                                    0xcf15
Delivery_person_ID             DEHRES05DEL01
Delivery_person_Age                30.000000
Delivery_person_Ratings             4.200000
Restaurant_latitude                30.346994
Restaurant_longitude               78.062543
Delivery_location_latitude         30.386994
Delivery_location_longitude        78.102543
Order_Date                        13-02-2022
Time_Orderd                            14:45
Time_Order_picked                      14:60
Weather conditions                       Fog
Road_traffic_density                    High
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   32.000000
Name: 28129, dtype: object
