ID                                     0xac8a
Delivery_person_ID             BANGRES19DEL02
Delivery_person_Age                 37.000000
Delivery_person_Ratings              4.200000
Restaurant_latitude                 12.914264
Restaurant_longitude                77.678400
Delivery_location_latitude          12.934264
Delivery_location_longitude         77.698400
Order_Date                         03-03-2022
Time_Orderd                              9:25
Time_Order_picked                        9:35
Weather conditions                     Stormy
Road_traffic_density                      Low
Vehicle_condition                           0
Type_of_order                          Drinks
Type_of_vehicle                    motorcycle
multiple_deliveries                  0.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    31.000000
Name: 19045, dtype: object
