ID                                       0x2cda
Delivery_person_ID               BANGRES12DEL02
Delivery_person_Age                   20.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   12.939496
Restaurant_longitude                  77.625999
Delivery_location_latitude            12.989496
Delivery_location_longitude           77.675999
Order_Date                           01-03-2022
Time_Orderd                               23:60
Time_Order_picked                         24:05
Weather conditions                        Sunny
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      18.000000
Name: 33108, dtype: object
