ID                                    0x8f5c
Delivery_person_ID             VADRES09DEL01
Delivery_person_Age                    32.00
Delivery_person_Ratings                 4.70
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.11
Delivery_location_longitude             0.11
Order_Date                        06-03-2022
Time_Orderd                            17:45
Time_Order_picked                      17:55
Weather conditions                     Sunny
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                     0.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       24.00
Name: 11643, dtype: object
