ID                                     0x6c4b
Delivery_person_ID             BANGRES15DEL01
Delivery_person_Age                 26.000000
Delivery_person_Ratings              4.900000
Restaurant_latitude                 12.975377
Restaurant_longitude                77.696664
Delivery_location_latitude          13.015377
Delivery_location_longitude         77.736664
Order_Date                         01-04-2022
Time_Orderd                             12:20
Time_Order_picked                       12:35
Weather conditions                     Cloudy
Road_traffic_density                     High
Vehicle_condition                           2
Type_of_order                            Meal
Type_of_vehicle                       scooter
multiple_deliveries                  0.000000
Festival                                   No
City                                    Urban
Time_taken (min)                    28.000000
Name: 43271, dtype: object
