ID                                       0x980c
Delivery_person_ID             RANCHIRES12DEL01
Delivery_person_Age                       38.00
Delivery_person_Ratings                    4.00
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.04
Delivery_location_longitude                0.04
Order_Date                           03-03-2022
Time_Orderd                               14:45
Time_Order_picked                         14:50
Weather conditions                          Fog
Road_traffic_density                       High
Vehicle_condition                             1
Type_of_order                            Drinks
Type_of_vehicle                         scooter
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          35.00
Name: 32027, dtype: object
