ID                                    0xc2f9
Delivery_person_ID             GOARES02DEL01
Delivery_person_Age                34.000000
Delivery_person_Ratings             4.300000
Restaurant_latitude                15.585658
Restaurant_longitude               73.743606
Delivery_location_latitude         15.655658
Delivery_location_longitude        73.813606
Order_Date                        18-02-2022
Time_Orderd                            18:35
Time_Order_picked                      18:45
Weather conditions                    Stormy
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 2.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   39.000000
Name: 32864, dtype: object
