ID                                      0x8e7a
Delivery_person_ID             COIMBRES06DEL02
Delivery_person_Age                  24.000000
Delivery_person_Ratings               4.200000
Restaurant_latitude                  11.021278
Restaurant_longitude                 76.995017
Delivery_location_latitude           11.151278
Delivery_location_longitude          77.125017
Order_Date                          25-03-2022
Time_Orderd                              21:50
Time_Order_picked                        21:55
Weather conditions                      Stormy
Road_traffic_density                       Jam
Vehicle_condition                            0
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     31.000000
Name: 37726, dtype: object
