ID                                    0x4dfc
Delivery_person_ID             SURRES09DEL03
Delivery_person_Age                28.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                21.175975
Restaurant_longitude               72.795503
Delivery_location_latitude         21.235975
Delivery_location_longitude        72.855503
Order_Date                        01-03-2022
Time_Orderd                            17:50
Time_Order_picked                      18:05
Weather conditions                    Cloudy
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   20.000000
Name: 34163, dtype: object
