ID                                    0xc15c
Delivery_person_ID             KOLRES19DEL01
Delivery_person_Age                29.000000
Delivery_person_Ratings             4.500000
Restaurant_latitude                22.549100
Restaurant_longitude               88.400467
Delivery_location_latitude         22.589100
Delivery_location_longitude        88.440467
Order_Date                        13-02-2022
Time_Orderd                            13:25
Time_Order_picked                      13:30
Weather conditions                     Windy
Road_traffic_density                    High
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   18.000000
Name: 11199, dtype: object
