ID                                      0x492b
Delivery_person_ID             BANGRES010DEL03
Delivery_person_Age                  22.000000
Delivery_person_Ratings               4.700000
Restaurant_latitude                  12.933298
Restaurant_longitude                 77.614293
Delivery_location_latitude           12.963298
Delivery_location_longitude          77.644293
Order_Date                          30-03-2022
Time_Orderd                              19:55
Time_Order_picked                        19:60
Weather conditions                      Stormy
Road_traffic_density                       Jam
Vehicle_condition                            0
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   2.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     39.000000
Name: 4745, dtype: object
