ID                                    0xe0da
Delivery_person_ID             KOLRES01DEL01
Delivery_person_Age                37.000000
Delivery_person_Ratings             4.200000
Restaurant_latitude                22.514688
Restaurant_longitude               88.393294
Delivery_location_latitude         22.584688
Delivery_location_longitude        88.463294
Order_Date                        14-02-2022
Time_Orderd                            19:10
Time_Order_picked                      19:25
Weather conditions                    Cloudy
Road_traffic_density                     Jam
Vehicle_condition                          1
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   39.000000
Name: 8946, dtype: object
