ID                                      0x2ac2
Delivery_person_ID             COIMBRES12DEL03
Delivery_person_Age                  31.000000
Delivery_person_Ratings               3.500000
Restaurant_latitude                  11.000762
Restaurant_longitude                 76.981876
Delivery_location_latitude           11.090762
Delivery_location_longitude          77.071876
Order_Date                          18-03-2022
Time_Orderd                              20:40
Time_Order_picked                        20:45
Weather conditions                       Windy
Road_traffic_density                       Jam
Vehicle_condition                            2
Type_of_order                            Snack
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                   Yes
City                             Metropolitian
Time_taken (min)                     41.000000
Name: 17586, dtype: object
