ID                                       0x32df
Delivery_person_ID               INDORES07DEL01
Delivery_person_Age                   30.000000
Delivery_person_Ratings                3.800000
Restaurant_latitude                   22.722634
Restaurant_longitude                  75.886959
Delivery_location_latitude            22.792634
Delivery_location_longitude           75.956959
Order_Date                           25-03-2022
Time_Orderd                               19:15
Time_Order_picked                         19:25
Weather conditions                       Stormy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    2.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      41.000000
Name: 8695, dtype: object
