ID                                    0xc0d2
Delivery_person_ID             ALHRES15DEL02
Delivery_person_Age                36.000000
Delivery_person_Ratings             4.500000
Restaurant_latitude               -25.449872
Restaurant_longitude               81.836167
Delivery_location_latitude         25.499872
Delivery_location_longitude        81.886167
Order_Date                        13-02-2022
Time_Orderd                            19:60
Time_Order_picked                      20:15
Weather conditions                       Fog
Road_traffic_density                     Jam
Vehicle_condition                          0
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   30.000000
Name: 1501, dtype: object
