ID                                      0x9a3c
Delivery_person_ID             PUNERES010DEL02
Delivery_person_Age                  33.000000
Delivery_person_Ratings               4.200000
Restaurant_latitude                  18.539299
Restaurant_longitude                 73.897902
Delivery_location_latitude           18.619299
Delivery_location_longitude          73.977902
Order_Date                          16-03-2022
Time_Orderd                              17:15
Time_Order_picked                        17:25
Weather conditions                      Cloudy
Road_traffic_density                    Medium
Vehicle_condition                            1
Type_of_order                           Drinks
Type_of_vehicle                        scooter
multiple_deliveries                   2.000000
Festival                                    No
City                                     Urban
Time_taken (min)                     42.000000
Name: 20951, dtype: object
