ID                                       0x95da
Delivery_person_ID               CHENRES11DEL01
Delivery_person_Age                   39.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   13.064181
Restaurant_longitude                  80.236442
Delivery_location_latitude            13.134181
Delivery_location_longitude           80.306442
Order_Date                           08-03-2022
Time_Orderd                               21:40
Time_Order_picked                         21:55
Weather conditions                       Cloudy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      36.000000
Name: 8349, dtype: object
