ID                                       0xc7d9
Delivery_person_ID                KOLRES09DEL01
Delivery_person_Age                         NaN
Delivery_person_Ratings                     NaN
Restaurant_latitude                   22.515082
Restaurant_longitude                  88.367830
Delivery_location_latitude            22.525082
Delivery_location_longitude           88.377830
Order_Date                           17-02-2022
Time_Orderd                                 NaN
Time_Order_picked                          8:35
Weather conditions                          NaN
Road_traffic_density                        NaN
Vehicle_condition                             3
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      21.000000
Name: 17003, dtype: object
