ID                                    0x3b5a
Delivery_person_ID             JAPRES08DEL01
Delivery_person_Age                27.000000
Delivery_person_Ratings             4.600000
Restaurant_latitude                26.910262
Restaurant_longitude               75.783013
Delivery_location_latitude         26.920262
Delivery_location_longitude        75.793013
Order_Date                        01-03-2022
Time_Orderd                             9:45
Time_Order_picked                       9:55
Weather conditions                       Fog
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   13.000000
Name: 6175, dtype: object
