ID                                       0xb96d
Delivery_person_ID             RANCHIRES12DEL01
Delivery_person_Age                       27.00
Delivery_person_Ratings                    2.70
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.11
Delivery_location_longitude                0.11
Order_Date                           06-04-2022
Time_Orderd                               23:10
Time_Order_picked                         23:20
Weather conditions                        Sunny
Road_traffic_density                        Low
Vehicle_condition                             1
Type_of_order                              Meal
Type_of_vehicle                         scooter
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          31.00
Name: 20865, dtype: object
