ID                                       0xc4bd
Delivery_person_ID               AURGRES08DEL03
Delivery_person_Age                   21.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   19.876428
Restaurant_longitude                  75.364792
Delivery_location_latitude            19.906428
Delivery_location_longitude           75.394792
Order_Date                           15-02-2022
Time_Orderd                               18:50
Time_Order_picked                         18:55
Weather conditions                        Sunny
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      12.000000
Name: 25997, dtype: object
