ID                                     0x6bc4
Delivery_person_ID             INDORES06DEL01
Delivery_person_Age                 35.000000
Delivery_person_Ratings              5.000000
Restaurant_latitude                 22.728163
Restaurant_longitude                75.884212
Delivery_location_latitude          22.768163
Delivery_location_longitude         75.924212
Order_Date                         05-04-2022
Time_Orderd                             12:60
Time_Order_picked                       13:10
Weather conditions                     Cloudy
Road_traffic_density                     High
Vehicle_condition                           0
Type_of_order                           Snack
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    31.000000
Name: 43602, dtype: object
