ID                                    0xbf3f
Delivery_person_ID             KOCRES05DEL03
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                 9.970717
Restaurant_longitude               76.285447
Delivery_location_latitude         10.000717
Delivery_location_longitude        76.315447
Order_Date                        13-02-2022
Time_Orderd                              NaN
Time_Order_picked                      21:20
Weather conditions                     Windy
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                         Drinks
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   26.000000
Name: 20595, dtype: object
