ID                                       0x67ea
Delivery_person_ID                MYSRES04DEL02
Delivery_person_Age                   24.000000
Delivery_person_Ratings                5.000000
Restaurant_latitude                   12.308500
Restaurant_longitude                  76.665808
Delivery_location_latitude            12.358500
Delivery_location_longitude           76.715808
Order_Date                           30-03-2022
Time_Orderd                               18:40
Time_Order_picked                         18:55
Weather conditions                       Cloudy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      12.000000
Name: 26851, dtype: object
