ID                                      0x9c8a
Delivery_person_ID             COIMBRES12DEL03
Delivery_person_Age                  39.000000
Delivery_person_Ratings               4.500000
Restaurant_latitude                  11.000762
Restaurant_longitude                 76.981876
Delivery_location_latitude           11.060762
Delivery_location_longitude          77.041876
Order_Date                          03-04-2022
Time_Orderd                              19:15
Time_Order_picked                        19:30
Weather conditions                      Cloudy
Road_traffic_density                       Jam
Vehicle_condition                            1
Type_of_order                           Buffet
Type_of_vehicle                        scooter
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     28.000000
Name: 25213, dtype: object
