ID                                     0xca47
Delivery_person_ID             BHPRES010DEL01
Delivery_person_Age                 37.000000
Delivery_person_Ratings              4.700000
Restaurant_latitude                 23.266261
Restaurant_longitude                77.379605
Delivery_location_latitude          23.306261
Delivery_location_longitude         77.419605
Order_Date                         13-02-2022
Time_Orderd                             16:10
Time_Order_picked                       16:15
Weather conditions                     Stormy
Road_traffic_density                   Medium
Vehicle_condition                           0
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    30.000000
Name: 37938, dtype: object
