ID                                    0xc8ef
Delivery_person_ID             GOARES15DEL03
Delivery_person_Age                 39.00000
Delivery_person_Ratings              4.80000
Restaurant_latitude                 15.51315
Restaurant_longitude                73.78346
Delivery_location_latitude          15.54315
Delivery_location_longitude         73.81346
Order_Date                        17-02-2022
Time_Orderd                            22:45
Time_Order_picked                      22:60
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          1
Type_of_order                          Snack
Type_of_vehicle                      scooter
multiple_deliveries                  1.00000
Festival                                  No
City                           Metropolitian
Time_taken (min)                    19.00000
Name: 1443, dtype: object
