ID                                     0x33df
Delivery_person_ID             PUNERES08DEL03
Delivery_person_Age                  30.00000
Delivery_person_Ratings               4.60000
Restaurant_latitude                  18.53408
Restaurant_longitude                 73.89852
Delivery_location_latitude           18.56408
Delivery_location_longitude          73.92852
Order_Date                         05-04-2022
Time_Orderd                             18:25
Time_Order_picked                       18:30
Weather conditions                      Sunny
Road_traffic_density                   Medium
Vehicle_condition                           0
Type_of_order                            Meal
Type_of_vehicle                    motorcycle
multiple_deliveries                   1.00000
Festival                                   No
City                                    Urban
Time_taken (min)                     20.00000
Name: 28230, dtype: object
