ID                                    0xddfe
Delivery_person_ID             DEHRES13DEL02
Delivery_person_Age                29.000000
Delivery_person_Ratings             4.700000
Restaurant_latitude                30.366322
Restaurant_longitude               78.070453
Delivery_location_latitude         30.386322
Delivery_location_longitude        78.090453
Order_Date                        11-02-2022
Time_Orderd                            11:25
Time_Order_picked                      11:30
Weather conditions                       Fog
Road_traffic_density                    High
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                      scooter
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   30.000000
Name: 7706, dtype: object
