ID                                     0xd53e
Delivery_person_ID             AURGRES11DEL02
Delivery_person_Age                     25.00
Delivery_person_Ratings                  4.90
Restaurant_latitude                      0.00
Restaurant_longitude                     0.00
Delivery_location_latitude               0.05
Delivery_location_longitude              0.05
Order_Date                         15-02-2022
Time_Orderd                             22:35
Time_Order_picked                       22:50
Weather conditions                     Cloudy
Road_traffic_density                      Low
Vehicle_condition                           2
Type_of_order                           Snack
Type_of_vehicle                       scooter
multiple_deliveries                      0.00
Festival                                   No
City                                    Urban
Time_taken (min)                        12.00
Name: 20304, dtype: object
