ID                                       0x2cf5
Delivery_person_ID               PUNERES17DEL01
Delivery_person_Age                   36.000000
Delivery_person_Ratings                4.100000
Restaurant_latitude                   18.530963
Restaurant_longitude                  73.828972
Delivery_location_latitude            18.570963
Delivery_location_longitude           73.868972
Order_Date                           24-03-2022
Time_Orderd                               15:45
Time_Order_picked                         15:50
Weather conditions                   Sandstorms
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                            Drinks
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                              Metropolitian
Time_taken (min)                      34.000000
Name: 17013, dtype: object
