ID                                       0x7e5d
Delivery_person_ID               INDORES02DEL02
Delivery_person_Age                   34.000000
Delivery_person_Ratings                4.700000
Restaurant_latitude                   22.651847
Restaurant_longitude                  75.881991
Delivery_location_latitude            22.671847
Delivery_location_longitude           75.901991
Order_Date                           09-03-2022
Time_Orderd                                9:40
Time_Order_picked                          9:45
Weather conditions                       Stormy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    1.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      26.000000
Name: 39443, dtype: object
