ID                                    0x8c9a
Delivery_person_ID             SURRES19DEL02
Delivery_person_Age                28.000000
Delivery_person_Ratings             4.200000
Restaurant_latitude                21.149669
Restaurant_longitude               72.772629
Delivery_location_latitude         21.279669
Delivery_location_longitude        72.902629
Order_Date                        04-03-2022
Time_Orderd                            18:20
Time_Order_picked                      18:35
Weather conditions                    Stormy
Road_traffic_density                  Medium
Vehicle_condition                          0
Type_of_order                         Drinks
Type_of_vehicle                   motorcycle
multiple_deliveries                 0.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   31.000000
Name: 19578, dtype: object
