ID                                    0xcab0
Delivery_person_ID             ALHRES05DEL03
Delivery_person_Age                35.000000
Delivery_person_Ratings             3.400000
Restaurant_latitude                25.457687
Restaurant_longitude               81.835585
Delivery_location_latitude         25.547687
Delivery_location_longitude        81.925585
Order_Date                        16-02-2022
Time_Orderd                            22:45
Time_Order_picked                      22:50
Weather conditions                     Sunny
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   33.000000
Name: 29449, dtype: object
