ID                                      0x5b0c
Delivery_person_ID             COIMBRES07DEL01
Delivery_person_Age                  20.000000
Delivery_person_Ratings               3.200000
Restaurant_latitude                  10.961850
Restaurant_longitude                 76.971082
Delivery_location_latitude           11.071850
Delivery_location_longitude          77.081082
Order_Date                          08-03-2022
Time_Orderd                              22:55
Time_Order_picked                        23:05
Weather conditions                       Sunny
Road_traffic_density                       Low
Vehicle_condition                            1
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     39.000000
Name: 28373, dtype: object
