ID                                       0xdf44
Delivery_person_ID                GOARES02DEL02
Delivery_person_Age                   33.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   15.585658
Restaurant_longitude                  73.743606
Delivery_location_latitude            15.665658
Delivery_location_longitude           73.823606
Order_Date                           16-02-2022
Time_Orderd                               23:55
Time_Order_picked                         24:05
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                         NaN
Festival                                     No
City                              Metropolitian
Time_taken (min)                      25.000000
Name: 45021, dtype: object
