ID                                    0xbf9a
Delivery_person_ID             ALHRES16DEL03
Delivery_person_Age                      NaN
Delivery_person_Ratings                  NaN
Restaurant_latitude                25.450377
Restaurant_longitude               81.834236
Delivery_location_latitude         25.540377
Delivery_location_longitude        81.924236
Order_Date                        12-02-2022
Time_Orderd                              NaN
Time_Order_picked                      18:15
Weather conditions                    Cloudy
Road_traffic_density                  Medium
Vehicle_condition                          1
Type_of_order                         Buffet
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                                     NaN
Time_taken (min)                   30.000000
Name: 22098, dtype: object
