ID                                       0x5fcc
Delivery_person_ID                HYDRES09DEL02
Delivery_person_Age                   35.000000
Delivery_person_Ratings                4.600000
Restaurant_latitude                   17.431668
Restaurant_longitude                  78.408321
Delivery_location_latitude            17.511668
Delivery_location_longitude           78.488321
Order_Date                           06-03-2022
Time_Orderd                               18:10
Time_Order_picked                         18:25
Weather conditions                       Cloudy
Road_traffic_density                     Medium
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      34.000000
Name: 44666, dtype: object
