ID                                      0xa5f8
Delivery_person_ID             COIMBRES03DEL03
Delivery_person_Age                  31.000000
Delivery_person_Ratings               3.600000
Restaurant_latitude                  11.025083
Restaurant_longitude                 77.015393
Delivery_location_latitude           11.115083
Delivery_location_longitude          77.105393
Order_Date                          16-03-2022
Time_Orderd                              22:60
Time_Order_picked                        23:10
Weather conditions                         Fog
Road_traffic_density                       Low
Vehicle_condition                            1
Type_of_order                            Snack
Type_of_vehicle                     motorcycle
multiple_deliveries                   0.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     36.000000
Name: 23981, dtype: object
