ID                                    0xb8b0
Delivery_person_ID             HYDRES08DEL02
Delivery_person_Age                22.000000
Delivery_person_Ratings             4.100000
Restaurant_latitude                17.438263
Restaurant_longitude               78.397865
Delivery_location_latitude         17.458263
Delivery_location_longitude        78.417865
Order_Date                        28-03-2022
Time_Orderd                             9:30
Time_Order_picked                       9:45
Weather conditions                Sandstorms
Road_traffic_density                     Low
Vehicle_condition                          0
Type_of_order                          Snack
Type_of_vehicle                   motorcycle
multiple_deliveries                 1.000000
Festival                                  No
City                           Metropolitian
Time_taken (min)                   20.000000
Name: 2989, dtype: object
