ID                                       0xbaa3
Delivery_person_ID                HYDRES17DEL01
Delivery_person_Age                   24.000000
Delivery_person_Ratings                4.800000
Restaurant_latitude                   17.451976
Restaurant_longitude                  78.385883
Delivery_location_latitude            17.461976
Delivery_location_longitude           78.395883
Order_Date                           11-03-2022
Time_Orderd                                8:30
Time_Order_picked                          8:35
Weather conditions                       Cloudy
Road_traffic_density                        Low
Vehicle_condition                             2
Type_of_order                             Snack
Type_of_vehicle                electric_scooter
multiple_deliveries                    0.000000
Festival                                     No
City                                      Urban
Time_taken (min)                      10.000000
Name: 16900, dtype: object
