ID                                      0xadcd
Delivery_person_ID             COIMBRES20DEL01
Delivery_person_Age                  36.000000
Delivery_person_Ratings               4.300000
Restaurant_latitude                  10.994136
Restaurant_longitude                 76.963303
Delivery_location_latitude           11.104136
Delivery_location_longitude          77.073303
Order_Date                          04-04-2022
Time_Orderd                              17:40
Time_Order_picked                        17:55
Weather conditions                       Windy
Road_traffic_density                    Medium
Vehicle_condition                            0
Type_of_order                             Meal
Type_of_vehicle                     motorcycle
multiple_deliveries                   1.000000
Festival                                    No
City                             Metropolitian
Time_taken (min)                     43.000000
Name: 14444, dtype: object
