ID                                    0xd64f
Delivery_person_ID             BHPRES07DEL01
Delivery_person_Age                    26.00
Delivery_person_Ratings                 4.30
Restaurant_latitude                     0.00
Restaurant_longitude                    0.00
Delivery_location_latitude              0.11
Delivery_location_longitude             0.11
Order_Date                        18-02-2022
Time_Orderd                            20:45
Time_Order_picked                      20:55
Weather conditions                    Cloudy
Road_traffic_density                     Jam
Vehicle_condition                          2
Type_of_order                           Meal
Type_of_vehicle                      scooter
multiple_deliveries                     0.00
Festival                                  No
City                           Metropolitian
Time_taken (min)                       34.00
Name: 40347, dtype: object
