ID                                       0x14fa
Delivery_person_ID                VADRES04DEL03
Delivery_person_Age                       35.00
Delivery_person_Ratings                    3.80
Restaurant_latitude                        0.00
Restaurant_longitude                       0.00
Delivery_location_latitude                 0.09
Delivery_location_longitude                0.09
Order_Date                           04-03-2022
Time_Orderd                               21:35
Time_Order_picked                         21:45
Weather conditions                        Windy
Road_traffic_density                        Jam
Vehicle_condition                             2
Type_of_order                              Meal
Type_of_vehicle                electric_scooter
multiple_deliveries                        1.00
Festival                                     No
City                              Metropolitian
Time_taken (min)                          31.00
Name: 40406, dtype: object
