ID                                     0xbf10
Delivery_person_ID             KOLRES010DEL02
Delivery_person_Age                       NaN
Delivery_person_Ratings                   NaN
Restaurant_latitude                -22.538999
Restaurant_longitude               -88.322337
Delivery_location_latitude          22.668999
Delivery_location_longitude         88.452337
Order_Date                         18-02-2022
Time_Orderd                               NaN
Time_Order_picked                       19:30
Weather conditions                     Stormy
Road_traffic_density                      Jam
Vehicle_condition                           1
Type_of_order                          Buffet
Type_of_vehicle                    motorcycle
multiple_deliveries                  1.000000
Festival                                   No
City                            Metropolitian
Time_taken (min)                    22.000000
Name: 12232, dtype: object
